"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9"
"Heliofungia fralinae",NA,NA,NA,NA,NA,NA,63.6172512351933,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7052.41,-56.71,1495.61,-466.23,-746.97,9.78,-10.56,-0.5,99.55
"Helioseris cucullata",NA,10.1,11,NA,"colonial",24,0.057255526111674,NA,NA,NA,"laminar","laminar",NA,NA,NA,5.62,NA,2.23823529411765,NA,NA,NA,"zooxanthellate",-5909.08,-103.55,463.13,1515.45,-242.27,-303.8,-109.59,-98.85,-16.46
"Herpolitha limax",NA,NA,0,NA,"colonial",NA,1075.21008569111,NA,NA,NA,"massive","massive",10,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7041.53,-61.5,1478.03,-453.1,-722.46,10.08,-5.68,-0.46,90.88
"Heterocyathus aequicostatus",NA,NA,NA,NA,"solitary",NA,0.24630086404144,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","both",6820.94,-158.65,1123.41,-187.67,-224.46,15.92,90.78,0.45,-77.58
"Heterocyathus alternatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both",6820.92,-158.66,1123.39,-187.66,-224.45,15.93,90.78,0.45,-77.56
"Heterocyathus sulcatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both",6820.77,-158.73,1123.23,-187.53,-224.25,15.93,90.85,0.45,-77.56
"Heteropsammia cochlea",NA,NA,NA,NA,"colonial",NA,0.4185386812745,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","both",-4003.42,-3555.64,221.7,289.93,231.7,117.45,1171.61,-467.32,114.58
"Heteropsammia eupsammides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both",-3998.07,-3545.44,225.89,290.66,231.62,115.37,1136.26,-443.45,103.28
"Homophyllia australis",NA,NA,NA,NA,"both",6,44.1786466911065,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7963.81,501.57,-733.86,104.84,-3.3,4.39,15.79,1.9,-193.03
"Homophyllia bowerbanki",NA,NA,0,NA,"colonial",200,3.97607820219958,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7948.29,492.92,-716.19,104.13,-1.4,4.6,17.51,1.76,-175.07
"Horastrea indica",NA,NA,NA,NA,"colonial",NA,0.874167790815445,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6971.8,-92.09,1361.73,-366.41,-557.32,11.89,26.47,-0.13,26.3
"Hydnophora bonsai",NA,NA,NA,NA,"colonial",NA,0.0804247719318987,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8069.47,561.91,-887.29,119.04,-21.54,3.69,-0.17,-0.22,159.83
"Hydnophora exesa",NA,79.8,30.07,NA,"colonial",100,0.110446616727766,NA,NA,NA,"submassive","massive",NA,NA,"spawner",9.24,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8055.6,554.08,-869.57,117.86,-19.51,3.84,1.73,-0.2,145.84
"Hydnophora grandis",NA,NA,NA,NA,"colonial",NA,0.125663706143592,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,NA,7.95,NA,NA,NA,NA,NA,"zooxanthellate",8064.82,559.28,-881.36,118.64,-20.86,3.74,0.47,-0.22,155.17
"Hydnophora microconos",NA,75.9,10.22,NA,"colonial",NA,0.229022104446696,NA,NA,NA,"massive","massive",7.6,NA,"spawner",NA,NA,1.37,NA,NA,"hermaphrodite","zooxanthellate",8068.97,561.63,-886.66,119,-21.46,3.69,-0.1,-0.22,159.33
"Hydnophora pilosa",NA,NA,NA,NA,"colonial",NA,0.331830724035422,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8069.42,561.88,-887.22,119.04,-21.53,3.69,-0.16,-0.22,159.77
"Hydnophora rigida",NA,NA,25.62,NA,"colonial",NA,0.255175863287831,NA,NA,NA,"branching_closed","branching",71,NA,"spawner",10.78,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8069.32,561.82,-887.11,119.03,-21.51,3.69,-0.15,-0.22,159.69
"Isophyllia rigida",NA,27.7,2.75,NA,"colonial",5.78,1.47411381288067,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7918.3,476.16,-681.36,102.55,2.3,5,20.77,1.46,-133.86
"Isophyllia sinuosa",NA,45,2.75,NA,"colonial",8.27,0.817128249198705,NA,NA,NA,"massive","massive",NA,NA,"brooder",NA,NA,NA,NA,NA,NA,"zooxanthellate",7928.66,481.91,-692.66,102.87,1.05,4.84,19.54,1.52,-141.99
"Isopora brueggemanni",NA,NA,29.58,NA,"colonial",100,0.0132732289614169,NA,NA,NA,"branching_open","branching",74.8,NA,"brooder",NA,NA,NA,2150000,NA,"hermaphrodite","zooxanthellate",-7183.2,1366.36,-42.43,-232.16,41.55,-46.84,23.81,1.18,-5.25
"Isopora crateriformis",NA,NA,NA,NA,"colonial",100,0.00331830724035422,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7178.56,1361.11,-40.74,-227.25,41.16,-40.72,23.27,1.27,-5.29
"Isopora cuneata",NA,10.1,18.96,NA,"colonial",20,0.00441786466911065,NA,NA,NA,"encrusting","encrusting",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7178.67,1361.22,-40.78,-227.31,41.16,-40.75,23.26,1.27,-5.28
"Isopora elizabethensis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7178.55,1361.1,-40.74,-227.25,41.16,-40.73,23.27,1.27,-5.29
"Isopora palifera",NA,76.4,40.85,NA,"colonial",NA,0.00865901475145687,NA,NA,NA,"branching_open","branching",NA,NA,"brooder",8.56,NA,1.52,4e+06,NA,"hermaphrodite","zooxanthellate",-7178.24,1360.78,-40.65,-227.06,41.17,-40.67,23.31,1.27,-5.3
"Isopora togianensis",NA,NA,NA,NA,"colonial",150,0.00785398163397448,NA,NA,NA,"branching_open","branching",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7176.27,1358.72,-40.03,-225.9,41.22,-40.33,23.55,1.26,-5.37
"Leptastrea aequalis",NA,NA,NA,NA,"colonial",20,0.0551545860245858,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7054.97,-55.58,1499.72,-469.3,-752.7,9.71,-11.7,-0.51,101.49
"Leptastrea bewickensis",NA,NA,NA,NA,"colonial",100,0.0706858347057703,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7055.08,-55.53,1499.89,-469.43,-752.94,9.7,-11.75,-0.51,101.57
"Leptastrea bottae",NA,NA,NA,NA,"colonial",NA,0.057255526111674,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7055.13,-55.51,1499.98,-469.49,-753.06,9.7,-11.77,-0.51,101.62
"Leptastrea inaequalis",NA,NA,NA,NA,"colonial",NA,0.0683492751696629,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7055.07,-55.54,1499.88,-469.42,-752.92,9.7,-11.74,-0.51,101.57
"Leptastrea pruinosa",NA,NA,7.15,NA,"colonial",NA,0.0615752160103599,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7054.56,-55.76,1499.04,-468.8,-751.76,9.72,-11.51,-0.51,101.14
"Leptastrea purpurea",NA,11.9,15.73,NA,"colonial",100,0.273397100678652,NA,0.273,NA,"encrusting","encrusting",1.8,NA,"spawner",NA,NA,1.63,NA,NA,"gonochore","zooxanthellate",7054.79,-55.66,1499.43,-469.09,-752.3,9.71,-11.62,-0.51,101.35
"Leptastrea transversa",NA,9.9,16.27,NA,"colonial",NA,0.4185386812745,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,10.92,NA,NA,NA,NA,NA,"zooxanthellate",7054.7,-55.7,1499.23,-468.94,-752,9.71,-11.57,-0.51,101.2
"Leptoria irregularis",NA,NA,66.12,NA,"colonial",150,0.188574099031727,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8073.99,564.36,-893.08,119.39,-22.19,3.66,-0.3,-0.53,163.63
"Leptoria phrygia",NA,NA,46.01,NA,"colonial",NA,0.0730616641500476,NA,NA,NA,"massive","massive",NA,NA,"spawner",5.77,NA,1.61,NA,NA,"hermaphrodite","zooxanthellate",8070.25,562.35,-888.31,119.11,-21.65,3.68,-0.28,-0.22,160.72
"Leptoseris amitoriensis",NA,NA,NA,NA,"colonial",NA,0.0551545860245858,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5987.14,-61.73,476.37,1802.82,-352.81,-451.81,-255.12,-187.82,-2.48
"Leptoseris cailleti",NA,NA,NA,NA,"colonial",NA,0.0706858347057703,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5987.04,-61.78,476.36,1802.47,-352.68,-451.63,-254.95,-187.71,-2.49
"Leptoseris explanata",NA,NA,NA,NA,"colonial",NA,0.0804247719318987,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.74,-61.94,476.31,1801.35,-352.25,-451.05,-254.38,-187.36,-2.55
"Leptoseris foliosa",NA,NA,NA,NA,"colonial",NA,0.0122718463030851,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.59,-62.02,476.28,1800.81,-352.04,-450.77,-254.11,-187.19,-2.57
"Leptoseris gardineri",NA,NA,71.5,NA,"colonial",1000,0.029864765163188,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5987.1,-61.74,476.37,1802.71,-352.77,-451.75,-255.07,-187.78,-2.48
"Leptoseris hawaiiensis",NA,NA,NA,NA,"colonial",NA,0.045238934211693,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.89,-61.86,476.33,1801.9,-352.46,-451.34,-254.66,-187.53,-2.52
"Leptoseris incrustans",NA,NA,NA,NA,"colonial",NA,0.0637939658219577,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5987.1,-61.74,476.37,1802.7,-352.77,-451.74,-255.06,-187.78,-2.48
"Leptoseris mycetoseroides",NA,NA,NA,NA,"colonial",200,0.0779311327631118,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.47,-62.08,476.26,1800.36,-351.87,-450.54,-253.88,-187.05,-2.59
"Leptoseris papyracea",NA,NA,71.5,NA,"colonial",NA,0.0934820163983813,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.93,-61.84,476.34,1802.05,-352.52,-451.41,-254.74,-187.58,-2.51
"Leptoseris scabra",NA,NA,NA,NA,"colonial",NA,0.200296166620434,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.78,-61.91,476.31,1801.52,-352.31,-451.14,-254.46,-187.41,-2.54
"Leptoseris solida",NA,NA,NA,NA,"colonial",NA,0.0779311327631118,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.69,-61.96,476.3,1801.19,-352.19,-450.97,-254.3,-187.31,-2.55
"Leptoseris striata",NA,NA,NA,NA,"colonial",10,0.101787601976309,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.46,-62.09,476.26,1800.34,-351.86,-450.53,-253.87,-187.04,-2.6
"Leptoseris tubulifera",NA,NA,NA,NA,"colonial",NA,0.0433736135736241,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5987.03,-61.78,476.36,1802.43,-352.66,-451.61,-254.93,-187.69,-2.49
"Leptoseris yabei",NA,NA,19.26,NA,"colonial",100,0.0706858347057703,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-5986.13,-62.26,476.21,1799.13,-351.39,-449.91,-253.26,-186.67,-2.65
"Lithophyllon concinna",NA,NA,6.33,NA,"solitary",16,201.061929829747,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7045.93,-59.56,1485.19,-458.44,-732.46,9.96,-7.66,-0.48,94.5
"Lithophyllon ranjithi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7050.8,-57.42,1493,-464.28,-743.34,9.82,-9.84,-0.5,98.26
"Lithophyllon repanda",NA,NA,NA,NA,"solitary",30,176.714586764426,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7048.6,-58.38,1489.48,-461.65,-738.45,9.89,-8.85,-0.49,96.53
"Lithophyllon scabra",NA,NA,NA,NA,"solitary",NA,47.7836242611008,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7051.16,-57.26,1493.58,-464.72,-744.15,9.81,-10,-0.5,98.54
"Lithophyllon spinifer",NA,NA,NA,NA,"solitary",12.5,109.358840271461,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7049.98,-57.78,1491.68,-463.29,-741.5,9.85,-9.47,-0.49,97.61
"Lithophyllon undulatum",NA,NA,NA,NA,"colonial",50,0.107521008569111,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7051.33,-57.18,1493.86,-464.92,-744.53,9.81,-10.07,-0.5,98.68
"Lobactis scutaria",NA,NA,2.75,NA,"solitary",17,224.317569447945,NA,NA,NA,"massive","massive",9.62631578947369,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7054.32,-55.87,1498.66,-468.51,-751.23,9.73,-11.4,-0.51,100.95
"Lobophyllia agaricia",NA,44.6,10.12,NA,"colonial",NA,5.62001473296087,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7973.2,506.79,-744.5,105.25,-4.45,4.25,14.74,1.98,-203.44
"Lobophyllia corymbosa",NA,39,42.83,NA,"colonial",200,8.55298599939821,NA,0.675,2800,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7968.04,503.92,-738.66,105.03,-3.82,4.33,15.32,1.94,-197.81
"Lobophyllia dentata",NA,NA,NA,NA,"colonial",200,4.26384808926841,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7973.22,506.81,-744.52,105.25,-4.45,4.25,14.74,1.98,-203.47
"Lobophyllia diminuta",NA,NA,NA,NA,"colonial",NA,14.1862543263664,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7973.09,506.74,-744.38,105.25,-4.44,4.25,14.75,1.98,-203.34
"Lobophyllia erythraea",NA,NA,NA,NA,"colonial",NA,1.88691908756237,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7973,506.68,-744.27,105.24,-4.43,4.25,14.76,1.98,-203.18
"Lobophyllia flabelliformis",NA,NA,21.54,NA,"colonial",200,15.3438526793979,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7970.81,505.47,-741.8,105.15,-4.16,4.29,15.01,1.96,-200.85
"Lobophyllia hassi",NA,NA,NA,NA,"colonial",20,2.07394202522139,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7973.1,506.74,-744.38,105.25,-4.44,4.25,14.75,1.98,-203.3
"Lobophyllia hataii",NA,NA,35.75,NA,"colonial",NA,5.9395736106932,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7973.16,506.78,-744.46,105.25,-4.45,4.25,14.74,1.98,-203.42
"Lobophyllia hemprichii",NA,NA,50.42,NA,"colonial",500,3.6813379064306,NA,NA,NA,"massive","massive",NA,NA,"spawner",9.98,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7973.02,506.69,-744.29,105.24,-4.43,4.25,14.76,1.98,-203.25
"Lobophyllia ishigakiensis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7934.67,485.34,-700.92,103.59,0.26,4.8,19.07,1.65,-160.83
"Lobophyllia radians",NA,28.2,12.31,NA,"colonial",NA,7.06858347057704,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7973.19,506.79,-744.49,105.25,-4.45,4.25,14.74,1.98,-203.44
"Lobophyllia robusta",NA,NA,4,NA,"colonial",NA,17.7205460616549,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7972.88,506.62,-744.14,105.24,-4.41,4.26,14.77,1.98,-203.04
"Lobophyllia rowleyensis",NA,NA,NA,NA,"colonial",NA,0.941712032867625,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7965.2,502.34,-735.44,104.9,-3.47,4.37,15.64,1.91,-194.63
"Lobophyllia serrata",NA,NA,NA,NA,"colonial",200,6.40180006480669,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7972.9,506.63,-744.17,105.24,-4.42,4.26,14.77,1.98,-203.13
"Lobophyllia valenciennesii",NA,NA,NA,NA,"colonial",NA,8.29576810088555,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7973.22,506.8,-744.52,105.25,-4.45,4.25,14.74,1.98,-203.47
"Lobophyllia vitiensis",NA,NA,0,NA,"both",21.5,38.484510006475,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7963.82,501.57,-733.88,104.84,-3.3,4.39,15.79,1.9,-193.04
"Madracis asanoi",NA,NA,NA,NA,"colonial",NA,0.041547562843725,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"both",6397.17,-392.89,1375.2,58.17,1204.79,-57.32,-160.65,-0.73,87.04
"Madracis auretenra",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6396.92,-393,1374.86,58.26,1204.02,-57.23,-160.23,-0.73,86.79
"Madracis carmabi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6396.37,-393.22,1374.13,58.48,1202.35,-57.04,-159.3,-0.72,86.27
"Madracis decactis",NA,19.1,2.66,NA,"colonial",10,0.0330063578167778,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",6397.32,-392.83,1375.4,58.11,1205.25,-57.38,-160.91,-0.73,87.19
"Madracis formosa",NA,NA,2.75,NA,"colonial",10.23,0.0165129963854314,NA,NA,NA,"columnar","columnar",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",6395.54,-393.57,1373.01,58.8,1199.81,-56.74,-157.89,-0.72,85.46
"Madracis kirbyi",NA,NA,NA,NA,"colonial",125,0.0397607820219958,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6397.37,-392.81,1375.47,58.09,1205.4,-57.39,-160.99,-0.73,87.23
"Madracis mirabilis",NA,22.3,NA,NA,"colonial",14.66,0.0143138815279185,NA,NA,NA,"branching_closed","branching",22,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",6396.05,-393.36,1373.71,58.6,1201.41,-56.93,-158.78,-0.72,85.98
"Madracis pharensis",NA,NA,2.75,NA,"colonial",NA,0.0254469004940773,NA,NA,NA,"digitate","digitate",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","both",6397.25,-392.86,1375.31,58.14,1205.05,-57.35,-160.8,-0.73,87.12
"Madracis senaria",NA,NA,2.75,NA,"colonial",NA,0.0188691908756237,NA,NA,NA,"encrusting","encrusting",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",6392.41,-394.87,1368.81,60.01,1190.25,-55.62,-152.59,-0.69,82.42
"Manicina areolata",NA,17.6,2.75,NA,"colonial",10,1.12156821228564,NA,NA,NA,"massive","massive",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7933.2,484.43,-697.61,103.01,0.51,4.77,19,1.56,-145.58
"Meandrina brasiliensis",NA,NA,NA,NA,"colonial",NA,1.38929081123375,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7029.85,-41.06,842.63,-150.22,-172.97,12.71,87.08,1.39,-367.96
"Meandrina danae",NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7028.21,-27.1,483.99,17.83,129.73,14.12,137.47,2.07,-607.69
"Meandrina meandrites",NA,47.8,16.39,NA,"colonial",16.3,1.35813013910095,NA,NA,NA,"submassive","massive",2.27921052631579,NA,"spawner",5.99,NA,NA,NA,NA,"gonochore","zooxanthellate",7029.58,-26.42,483.9,17.52,130.13,14.05,137.41,2.08,-613.78
"Merulina ampliata",NA,59.5,58.64,0.01225,"colonial",NA,0.196349540849362,NA,0.339,NA,"laminar","laminar",24.4837647058824,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8077.05,566.09,-897,119.65,-22.63,3.63,-0.71,-0.54,166.7
"Merulina scabricula",NA,NA,9.09,NA,"colonial",NA,0.0551545860245858,NA,NA,NA,"laminar","laminar",NA,NA,NA,6.1,NA,NA,NA,NA,NA,"zooxanthellate",8077.06,566.1,-897.01,119.65,-22.63,3.63,-0.71,-0.54,166.71
"Merulina scheeri",NA,NA,NA,NA,"colonial",30,0.301907054009979,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8077.08,566.11,-897.03,119.66,-22.64,3.63,-0.72,-0.54,166.72
"Merulina triangularis",NA,NA,16.92,NA,"colonial",500,0.52168109508267,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8077.11,566.12,-897.07,119.66,-22.64,3.63,-0.72,-0.54,166.75
"Micromussa amakusensis",NA,NA,NA,NA,"colonial",NA,0.580880481648753,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",7913.83,473.72,-677.17,102.63,2.8,5.1,21.38,1.46,-136.18
"Micromussa lordhowensis",NA,NA,0,NA,"colonial",NA,0.865901475145687,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7951.14,494.5,-719.38,104.24,-1.75,4.56,17.19,1.78,-177.96
"Micromussa multipunctata",NA,NA,NA,NA,"colonial",30,0.368528453220168,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7923,478.79,-686.86,102.81,1.72,4.94,20.26,1.51,-140.59
"Micromussa regularis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7950.78,494.3,-718.97,104.23,-1.71,4.57,17.23,1.78,-177.6
"Montastraea cavernosa",NA,32.6,14.42,7.125,"colonial",250,0.567450173054656,0.306666666666667,NA,NA,"massive","massive",5.31770072992701,NA,NA,14.15,NA,1.6,NA,NA,"gonochore","zooxanthellate",7668.39,336.57,-387.14,88.65,35.17,8.36,51.22,1.1,-107.63
"Montigyra kenti",NA,NA,NA,NA,"colonial",NA,4.5238934211693,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6241.88,301.8,294.04,703.1,-17.39,307.11,349.44,916.08,76.56
"Montipora aequituberculata",NA,30.4,15.61,NA,"colonial",NA,0.00502654824574367,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7128.97,1285.19,-4.24,-22.28,1.15,703.4,-187.41,-193.73,-7.6
"Montipora altasepta",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7121.91,1278.08,-2.41,-20.93,1.99,687.93,-181.04,-187.41,-7.66
"Montipora angulata",NA,NA,NA,NA,"colonial",NA,0.0103868907109313,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7128.5,1284.73,-4.13,-22.22,1.21,702.59,-187.12,-193.59,-7.61
"Montipora aspergillus",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7087.52,1243.14,6.54,-14.2,6.08,604.47,-146.49,-150.78,-7.68
"Montipora australiensis",NA,NA,NA,NA,"colonial",NA,0.00196349540849362,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7108.84,1264.74,0.99,-18.35,3.54,654.12,-167.01,-172.02,-7.59
"Montipora cactus",NA,NA,NA,NA,"colonial",NA,0.00708821842466197,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7128.54,1284.76,-4.13,-22.2,1.2,702.4,-186.99,-193.3,-7.6
